building,unit,beds,baths,sqft
Journal Square Urby,1002,2,2,
Journal Square Urby,1003,0,1,
Journal Square Urby,1008,1,1,
Journal Square Urby,1010,2,2,
Journal Square Urby,1101,0,1,
Journal Square Urby,1115,0,1.0,456
Journal Square Urby,1116,1,1,
Journal Square Urby,1204,0,1,
Journal Square Urby,1216,1,1,
Journal Square Urby,1406,0,1,
Journal Square Urby,1408,1,1,
Journal Square Urby,1410,2,2.0,907
Journal Square Urby,1415,0,1.0,456
Journal Square Urby,1416,1,1,
Journal Square Urby,1506,0,1.0,442
Journal Square Urby,1515,0,1.0,456
Journal Square Urby,1605,1,1.0,523
Journal Square Urby,1606,0,1.0,
Journal Square Urby,1615,0,1,
Journal Square Urby,1701,0,1,
Journal Square Urby,1704,0,1,
Journal Square Urby,1710,2,2.0,907
Journal Square Urby,1714,2,2.0,831
Journal Square Urby,1801,0,1,
Journal Square Urby,1804,0,1,
Journal Square Urby,1812,2,2.0,805
Journal Square Urby,1816,1,1,
Journal Square Urby,1903,0,1.0,442
Journal Square Urby,1904,0,1,
Journal Square Urby,1908,1,1.0,523
Journal Square Urby,1910,2,2.0,907
Journal Square Urby,2008,1,1.0,523
Journal Square Urby,2014,2,2,
Journal Square Urby,203,0,1,
Journal Square Urby,205,1,1,
Journal Square Urby,208,1,2,
Journal Square Urby,2101,0,1,
Journal Square Urby,2107,1,1.0,523
Journal Square Urby,2110,2,2,
Journal Square Urby,2112,2,2.0,805
Journal Square Urby,212,1,1,
Journal Square Urby,2204,0,1,
Journal Square Urby,2206,0,1,
Journal Square Urby,2214,2,2.0,831
Journal Square Urby,2303,0,1,
Journal Square Urby,2306,0,1.0,442
Journal Square Urby,2307,1,1,
Journal Square Urby,2403,0,1,
Journal Square Urby,2416,1,1,
Journal Square Urby,305,1,1,
Journal Square Urby,403,0,1,
Journal Square Urby,416,1,1,
Journal Square Urby,504,0,1,
Journal Square Urby,506,0,1,
Journal Square Urby,507,1,1.0,523
Journal Square Urby,515,0,1,
Journal Square Urby,712,1,1.0,523
Journal Square Urby,713,1,1,
Journal Square Urby,714,3,2.0,892
Journal Square Urby,715,0,1,
Journal Square Urby,716,1,1,
Journal Square Urby,802,2,2,
Journal Square Urby,803,0,1,
Journal Square Urby,804,0,1.0,442
Journal Square Urby,906,0,1,
Journal Square Urby,911,1,1,
Journal Square Urby,916,1,1,
Journal Squared,0902,1,1,591
Journal Squared,0905,0,1,498
Journal Squared,0906,3,2,1158
Journal Squared,0909,0,1.0,622
Journal Squared,0911,0,1,502
Journal Squared,1002,2,2,914
Journal Squared,1004,0,1,549
Journal Squared,1007,0,1.0,444
Journal Squared,1009,0,1.0,622
Journal Squared,1011,2,2.0,1011
Journal Squared,1102,1,1,716
Journal Squared,1105,0,1,498
Journal Squared,1108,2,2,1083
Journal Squared,1110,2,2,934
Journal Squared,1111,0,1.0,474
Journal Squared,1112,0,1,511
Journal Squared,1115,1,1.0,830
Journal Squared,1202,2,2,914
Journal Squared,1205,0,1,498
Journal Squared,1206,3,2,1158
Journal Squared,1211,0,1,474
Journal Squared,1212,0,1,511
Journal Squared,1213,3,2,1286
Journal Squared,1401,1,1.0,687
Journal Squared,1402,1,1,716
Journal Squared,1405,0,1.0,498
Journal Squared,1406,3,2,1158
Journal Squared,1409,3,2.0,1415
Journal Squared,1412,0,1,511
Journal Squared,1414,0,1,479
Journal Squared,1502,1,1.0,716
Journal Squared,1503,0,1.0,453
Journal Squared,1504,0,1,530
Journal Squared,1507,0,1,410
Journal Squared,1514,0,1.0,479
Journal Squared,1605,0,1.0,403
Journal Squared,1606,0,1.0,484
Journal Squared,1607,0,1.0,523
Journal Squared,1613,0,1,487
Journal Squared,1701,1,1.0,656
Journal Squared,1702,1,1,716
Journal Squared,1703,1,1,646
Journal Squared,1706,0,1,484
Journal Squared,1709,1,1.0,965
Journal Squared,1712,0,1,511
Journal Squared,1802,1,1,591
Journal Squared,1810,1,1.0,827
Journal Squared,1812,0,1,511
Journal Squared,1901,1,1,656
Journal Squared,1905,3,2.0,1241
Journal Squared,1908,0,1.0,431
Journal Squared,1912,1,1.0,870
Journal Squared,2001,1,1,656
Journal Squared,2002,1,1.0,738
Journal Squared,2003,1,1,624
Journal Squared,2014,1,1.0,869
Journal Squared,2101,1,1,656
Journal Squared,2106,2,2.0,991
Journal Squared,2204,0,1.0,454
Journal Squared,2212,2,2,1044
Journal Squared,2214,1,1,869
Journal Squared,2301,1,1,656
Journal Squared,2304,0,1,488
Journal Squared,2305,2,2.0,944
Journal Squared,2306,2,2,991
Journal Squared,2308,0,1.0,431
Journal Squared,2309,3,2,1422
Journal Squared,2312,2,2,1044
Journal Squared,2412,1,1,870
Journal Squared,2413,2,2,996
Journal Squared,2501,1,1,631
Journal Squared,2601,1,1,777
Journal Squared,2605,1,1,618
Journal Squared,2614,1,1,869
Journal Squared,2701,0,1,496
Journal Squared,2705,1,1,618
Journal Squared,2711,0,1,477
Journal Squared,2802,1,1,698
Journal Squared,2803,1,1,538
Journal Squared,2805,3,2.0,1241
Journal Squared,2811,0,1.0,477
Journal Squared,2901,0,1,496
Journal Squared,2902,2,2,1056
Journal Squared,2905,1,1.0,622
Journal Squared,3103,1,1.0,686
Journal Squared,3106,1,1,623
Journal Squared,3303,1,1.0,652
Journal Squared,3304,2,2,1031
Journal Squared,3305,1,1,618
Journal Squared,3307,2,2,1071
Journal Squared,3403,1,1,732
Journal Squared,3404,2,2.0,1031
Journal Squared,3405,1,1,618
Journal Squared,3410,2,2,1048
Journal Squared,3411,0,1.0,573
Journal Squared,3502,2,2,1056
Journal Squared,3504,1,1,628
Journal Squared,3505,1,1,618
Journal Squared,3510,2,2,1047
Journal Squared,3601,1,1,637
Journal Squared,3605,1,1,735
Journal Squared,3701,0,1,510
Journal Squared,3703,1,1,732
Journal Squared,3704,2,2,1066
Journal Squared,3705,1,1.0,618
Journal Squared,3709,0,1,467
Journal Squared,3903,1,1,700
Journal Squared,4101,1,1,637
Journal Squared,4104,2,2,1030
Journal Squared,4105,1,1.0,641
Journal Squared,4106,1,1,860
Journal Squared,4110,2,2,1048
Journal Squared,4202,2,2,1025
Journal Squared,4203,1,1,732
Journal Squared,4207,2,2,1071
Journal Squared,4301,1,1,637
Journal Squared,4302,2,2.0,1025
Journal Squared,4307,1,1,706
Journal Squared,4310,2,2,1048
Journal Squared,4405,1,1,618
Journal Squared,4411,0,1,573
Journal Squared,4502,1,1,738
Journal Squared,4602,2,2,1025
Journal Squared,4603,1,1,652
Journal Squared,4604,2,2,1066
Journal Squared,4610,2,2,1048
Journal Squared,4611,0,1.0,573
Journal Squared,4702,2,2,1056
Journal Squared,4703,1,1,732
Journal Squared,4704,1,1.0,646
Journal Squared,4711,0,1,573
Journal Squared,4801,0,1,510
Journal Squared,4802,2,2.0,1056
Journal Squared,4804,2,2.0,1031
Journal Squared,4805,1,1,618
Journal Squared,4807,2,2,1071
Journal Squared,4810,2,2,1048
Journal Squared,4904,2,2,1066
Journal Squared,4907,1,1,706
Journal Squared,4908,1,1,610
Journal Squared,4910,2,2,1048
Journal Squared,5001,0,1,510
Journal Squared,5003,1,1,700
Journal Squared,5004,2,2,1031
Journal Squared,5105,1,1,622
Journal Squared,5107,2,2.0,1071
Journal Squared,5110,2,2.0,1048
Journal Squared,5201,1,1.0,630
Journal Squared,5206,1,1,860
Journal Squared,5208,1,1,684
Journal Squared,5305,1,1.0,618
Journal Squared,5309,0,1.0,467
Journal Squared,5310,2,2,1048
Journal Squared,5501,0,1,510
Journal Squared,5502,2,2,1025
Journal Squared,5505,1,1.0,618
Journal Squared,5603,1,1,700
Journal Squared,5604,2,2,1066
Journal Squared,5701,1,1.0,637
Journal Squared,5702,2,2,1056
Journal Squared,5705,1,1.0,618
Journal Squared,5804,2,2,1030
Journal Squared,5806,1,1,623
Journal Squared,5809,0,1.0,467
Journal Squared,5910,2,2,1048
Journal Squared,6209,0,1,467
Journal Squared,6304,2,2,1031
Journal Squared,6309,0,1,467
Journal Squared,6401,1,1,637
Journal Squared,6404,2,2,1031
Journal Squared,6509,0,1.0,467
Journal Squared,PH1-07,2,2.0,1415
The Journal,0204,0,1.0,421
The Journal,0206,3,2.0,1226
The Journal,0302,0,1,387
The Journal,0303,3,2.0,1153
The Journal,0304,0,1.0,421
The Journal,0305,1,1.0,811
The Journal,0311,0,1,515
The Journal,0403,3,2.0,1153
The Journal,0404,0,1,461
The Journal,0405,1,1,855
The Journal,0411,0,1,515
The Journal,0416,1,1.0,690
The Journal,0420,0,1,567
The Journal,0422,0,1,491
The Journal,0502,0,1.0,387
The Journal,0504,0,1.0,461
The Journal,0513,1,1.0,895
The Journal,0516,1,1,690
The Journal,0603,3,2,1153
The Journal,0611,0,1.0,496
The Journal,0619,0,1,567
The Journal,0702,0,1.0,387
