snapshot_date,building,in_market,unit,unit_type,beds,baths,sqft,asking_rent,net_effective_rent,price_basis,concession_text,available_date,data_flag,conc_months,lease_months
2026-07-16,134 Baldwin,1,308,Studio,0,1.0,561,2250.0,,asking,,2026-07-01,,,
2026-07-16,134 Baldwin,1,404,Studio,0,1.0,500,2150.0,,asking,,2026-07-09,,,
2026-07-16,134 Baldwin,1,414,Studio,0,1.0,660,2399.0,,asking,,2026-07-11,,,
2026-07-16,134 Baldwin,1,504,Studio,0,1.0,575,2499.0,,asking,,2026-07-01,,,
2026-07-16,134 Baldwin,1,513,Studio,0,1.0,565,2350.0,,asking,,2026-07-01,,,
2026-07-16,134 Baldwin,1,713,Studio,0,1.0,565,2350.0,,asking,,2026-07-01,,,
2026-07-16,3 Journal Square,1,0217,1BR,1,1.0,752,3269.0,,asking,,,,,
2026-07-16,3 Journal Square,1,0417,1BR,1,1.0,752,3299.0,,asking,,,,,
2026-07-16,3 Journal Square,1,0701,1BR,1,1.0,687,3089.0,,asking,,,,,
2026-07-16,3 Journal Square,1,1115,1BR,1,1.0,687,3159.0,,asking,,,,,
2026-07-16,3 Journal Square,1,PH01,1BR,1,1.0,687,3169.0,,asking,,,,,
2026-07-16,3 Journal Square,1,0214,2BR,2,2.0,1156,4309.0,,asking,,,,,
2026-07-16,345 Baldwin,1,1008,1BR,1,1.0,620,2975.0,2603.0,both,"$2,603.13 Net Effective Rent",8/30/2026,,1,12
2026-07-16,345 Baldwin,1,1207,1BR,1,1.0,620,2995.0,2620.0,both,"$2,603.13 Net Effective Rent",,,1,12
2026-07-16,345 Baldwin,1,701,2BR,2,2.0,947,4100.0,3587.0,both,"$2,603.13 Net Effective Rent",,,1,12
2026-07-16,413 Summit,1,1010,1BR,1,1.0,,2995.0,2765.0,net+derived_gross,"*The advertised rent is net effective, reflecting one month free on a 13-month lease. Now offering reduced $1,000 security deposit for applicants with 700+ credit scores.",,,1,13
2026-07-16,413 Summit,1,409,1BR,1,1.0,,2595.0,2395.0,net+derived_gross,"*The advertised rent is net effective, reflecting one month free on a 13-month lease. Now offering reduced $1,000 security deposit for applicants with 700+ credit scores.",,,1,13
2026-07-16,505 Summit,1,3913,1BR,1,1.0,725,4551.0,3933.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,4511,1BR,1,1.0,673,4081.0,3522.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,4608,1BR,1,1.0,608,4041.0,3487.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,4612,1BR,1,1.0,688,3926.0,3386.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,4701,1BR,1,1.0,600,4116.0,3553.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,4710,1BR,1,1.0,793,4201.0,3627.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,4808,1BR,1,1.0,710,4191.0,3618.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,5011,1BR,1,1.0,594,3846.0,3316.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,5012,1BR,1,1.0,730,4141.0,3574.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,5013,1BR,1,1.0,701,4026.0,3474.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,3013,2BR,2,2.0,924,5581.0,4949.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,3501,2BR,2,2.0,1144,5696.0,5053.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,4501,2BR,2,2.0,1141,5821.0,5164.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,4006,Studio,0,1.0,527,3331.0,2934.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,4402,Studio,0,1.0,635,3556.0,3135.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,4703,Studio,0,1.0,446,3446.0,3037.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,4704,Studio,0,1.0,586,3496.0,3082.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,5109,Studio,0,1.0,462,3706.0,3270.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,5204,Studio,0,1.0,586,3546.0,3126.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,505 Summit,1,5309,Studio,0,1.0,462,3641.0,3212.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-07-16,55 Jordan,1,1373,1BR,1,1.0,,2525.0,,asking,Up to 3 mo free + no broker fee (term not stated),,,,
2026-07-16,55 Jordan,1,1699,2BR,2,1.0,,2875.0,,asking,Up to 3 mo free + no broker fee (term not stated),,,,
2026-07-16,55 Jordan,1,1801,2BR,2,2.0,,3100.0,,asking,Up to 3 mo free + no broker fee (term not stated),,,,
2026-07-16,55 Jordan,1,2060,Studio,0,1.0,,2050.0,,asking,Up to 3 mo free + no broker fee (term not stated),,,,
2026-07-16,55 Jordan,1,4070,Studio,0,1.0,,2200.0,,asking,Up to 3 mo free + no broker fee (term not stated),,,,
2026-07-16,Four Twenty Five Summit,1,1102,1BR,1,1.0,639,3430.0,3001.0,both,"$2,296.88 Net Effective Rent",10/6/2026,,,
2026-07-16,Four Twenty Five Summit,1,2201,2BR,2,2.0,1004,5325.0,4659.0,both,"$2,296.88 Net Effective Rent",,,,
