snapshot_date,building,in_market,unit,unit_type,beds,baths,sqft,asking_rent,net_effective_rent,price_basis,concession_text,available_date,data_flag,conc_months,lease_months,first_seen,last_seen,active
2026-07-17,134 Baldwin,1,308,Studio,0,1.0,561,2250.0,,asking,,2026-07-01,,,,2026-06-18,2026-07-17,0
2026-07-20,134 Baldwin,1,404,Studio,0,1.0,500,2100.0,,asking,,2026-07-09,,,,2026-07-09,2026-07-20,1
2026-07-20,134 Baldwin,1,414,Studio,0,1.0,660,2399.0,,asking,,2026-07-11,,,,2026-06-18,2026-07-20,1
2026-07-20,134 Baldwin,1,504,Studio,0,1.0,575,2499.0,,asking,,2026-07-01,,,,2026-06-18,2026-07-20,1
2026-07-20,134 Baldwin,1,513,Studio,0,1.0,565,2350.0,,asking,,2026-07-01,,,,2026-06-18,2026-07-20,1
2026-07-08,134 Baldwin,1,603,Studio,0,1.0,500,2100.0,,asking,,2026-07-01,,,,2026-06-18,2026-07-08,0
2026-06-25,134 Baldwin,1,710,Studio,0,1.0,565,2350.0,,asking,,2026-05-27,,,,2026-06-18,2026-06-25,0
2026-07-20,134 Baldwin,1,713,Studio,0,1.0,565,2350.0,,asking,,2026-07-01,,,,2026-06-18,2026-07-20,1
2026-07-20,134 Baldwin,1,802,Studio,0,1.0,500,2150.0,,asking,,2026-07-17,,,,2026-07-18,2026-07-20,1
2026-07-20,3 Journal Square,1,0217,1BR,1,1.0,752,3269.0,,asking,,,,,,2026-06-17,2026-07-20,1
2026-07-20,3 Journal Square,1,0417,1BR,1,1.0,752,3299.0,,asking,,,,,,2026-06-17,2026-07-20,1
2026-06-30,3 Journal Square,1,0615,1BR,1,1.0,687,3079.0,,asking,,,,,,2026-06-17,2026-06-30,0
2026-07-20,3 Journal Square,1,0701,1BR,1,1.0,687,3089.0,,asking,,,,,,2026-06-24,2026-07-20,1
2026-07-07,3 Journal Square,1,0705,1BR,1,1.0,704,2960.0,,asking,,,,,,2026-06-30,2026-07-07,0
2026-06-21,3 Journal Square,1,1101,1BR,1,1.0,687,3109.0,,asking,,,,,,2026-06-20,2026-06-21,0
2026-07-20,3 Journal Square,1,1115,1BR,1,1.0,687,3159.0,,asking,,,,,,2026-06-17,2026-07-20,1
