snapshot_date,building,in_market,unit,unit_type,beds,baths,sqft,asking_rent,net_effective_rent,price_basis,concession_text,available_date,data_flag,conc_months,lease_months
2026-08-08,100 House,1,fp4,1BR,1,1.0,,3355.0,,asking,1 MONTH FREE ON SELECT APARTMENTS! *Prices and promotions may vary and a,,,,
2026-08-08,100 House,1,fp5,1BR,1,1.0,,3300.0,,asking,1 MONTH FREE ON SELECT APARTMENTS! *Prices and promotions may vary and a,,,,
2026-08-08,100 House,1,fp6,1BR,1,1.0,,3410.0,,asking,1 MONTH FREE ON SELECT APARTMENTS! *Prices and promotions may vary and a,,,,
2026-08-08,100 House,1,fp7,1BR,1,1.0,,3370.0,,asking,1 MONTH FREE ON SELECT APARTMENTS! *Prices and promotions may vary and a,,,,
2026-08-08,100 House,1,fp10,2BR,2,2.0,,4350.0,,asking,1 MONTH FREE ON SELECT APARTMENTS! *Prices and promotions may vary and a,,,,
2026-08-08,100 House,1,fp11,2BR,2,2.0,,4280.0,,asking,1 MONTH FREE ON SELECT APARTMENTS! *Prices and promotions may vary and a,,,,
2026-08-08,100 House,1,fp12,2BR,2,2.0,,4545.0,,asking,1 MONTH FREE ON SELECT APARTMENTS! *Prices and promotions may vary and a,,,,
2026-08-08,100 House,1,fp3,2BR,2,2.0,,4290.0,,asking,1 MONTH FREE ON SELECT APARTMENTS! *Prices and promotions may vary and a,,,,
2026-08-08,100 House,1,fp8,2BR,2,2.0,,4320.0,,asking,1 MONTH FREE ON SELECT APARTMENTS! *Prices and promotions may vary and a,,,,
2026-08-08,100 House,1,fp9,2BR,2,2.0,,4260.0,,asking,1 MONTH FREE ON SELECT APARTMENTS! *Prices and promotions may vary and a,,,,
2026-08-08,100 House,1,fp1,Studio,0,1.0,,2650.0,,asking,1 MONTH FREE ON SELECT APARTMENTS! *Prices and promotions may vary and a,,,,
2026-08-08,100 House,1,fp2,Studio,0,1.0,,2840.0,,asking,1 MONTH FREE ON SELECT APARTMENTS! *Prices and promotions may vary and a,,,,
2026-08-08,134 Baldwin,1,410,2BR,2,2.0,1088,3699.0,,asking,,2026-08-04,,,
2026-08-08,134 Baldwin,1,414,Studio,0,1.0,660,2399.0,,asking,,2026-07-11,,,
2026-08-08,134 Baldwin,1,504,Studio,0,1.0,575,2499.0,,asking,,,,,
2026-08-08,134 Baldwin,1,513,Studio,0,1.0,565,2350.0,,asking,,,,,
2026-08-08,134 Baldwin,1,607,Studio,0,1.0,561,2350.0,,asking,,2026-07-30,,,
2026-08-08,134 Baldwin,1,714,Studio,0,1.0,565,2350.0,,asking,,2026-08-06,,,
2026-08-08,235 Grand,1,fp1,1BR,1,1.0,,3715.0,,asking,,,,,
2026-08-08,235 Grand,1,fp3,2BR,2,2.0,,5410.0,,asking,,,,,
2026-08-08,235 Grand,1,fp2,Studio,0,1.0,,3330.0,,asking,,,,,
2026-08-08,295J,1,fp2,1BR,1,1.0,636,3033.0,,asking,1 MONTH FREE when you move into one of our wonderful apartment homes by,,,,
2026-08-08,295J,1,fp3,2BR,2,2.0,979,3910.0,,asking,1 MONTH FREE when you move into one of our wonderful apartment homes by,,,,
2026-08-08,295J,1,fp1,Studio,0,1.0,422,2224.0,,asking,1 MONTH FREE when you move into one of our wonderful apartment homes by,,,,
2026-08-08,3 Journal Square,1,0701,1BR,1,1.0,687,3089.0,,asking,,,,,
2026-08-08,3 Journal Square,1,0705,1BR,1,1.0,704,3150.0,,asking,,,,,
2026-08-08,3 Journal Square,1,0810,1BR,1,1.0,752,3350.0,,asking,,,,,
2026-08-08,3 Journal Square,1,1106,1BR,1,1.0,726,3305.0,,asking,,,,,
2026-08-08,3 Journal Square,1,0812,Studio,0,1.0,496,2576.0,,asking,,,,,
2026-08-08,3 Journal Square,1,1202,Studio,0,1.0,496,2596.0,,asking,,,,,
2026-08-08,345 Baldwin,1,603,Studio,0,1.0,391,2430.0,2228.0,asking+derived_net,1 mo free (12-mo),9/7/2026,,1,12
2026-08-08,351 Marin,1,fp1,1BR,1,1.0,,4095.0,,asking,,,,,
2026-08-08,351 Marin,1,fp3,2BR,2,2.0,,6345.0,,asking,,,,,
2026-08-08,351 Marin,1,fp2,Studio,0,1.0,,3530.0,,asking,,,,,
2026-08-08,413 Summit,1,1010,1BR,1,1.0,,2995.0,2765.0,net+derived_gross,"*The advertised rent is net effective, reflecting one month free on a 13-month lease. Now offering reduced $1,000 security deposit for applicants with 700+ credit scores.",,,1,13
2026-08-08,413 Summit,1,409,1BR,1,1.0,,2595.0,2395.0,net+derived_gross,"*The advertised rent is net effective, reflecting one month free on a 13-month lease. Now offering reduced $1,000 security deposit for applicants with 700+ credit scores.",,,1,13
2026-08-08,505 Summit,1,3909,1BR,1,1.0,730,4101.0,3539.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-08,505 Summit,1,3913,1BR,1,1.0,725,4551.0,3933.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-08,505 Summit,1,4509,1BR,1,1.0,730,4161.0,3592.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-08,505 Summit,1,4511,1BR,1,1.0,673,4081.0,3522.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-08,505 Summit,1,4513,1BR,1,1.0,725,3961.0,3417.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
