snapshot_date,building,in_market,unit,unit_type,beds,baths,sqft,asking_rent,net_effective_rent,price_basis,concession_text,available_date,data_flag,conc_months,lease_months,first_seen,last_seen,active
2026-06-28,134 Baldwin,1,308,Studio,0,1.0,561,2250.0,,asking,,2026-06-01,,,,2026-06-18,2026-06-28,1
2026-06-28,134 Baldwin,1,414,Studio,0,1.0,660,2499.0,,asking,,,,,,2026-06-18,2026-06-28,1
2026-06-28,134 Baldwin,1,504,Studio,0,1.0,575,2499.0,,asking,,2026-06-10,,,,2026-06-18,2026-06-28,1
2026-06-28,134 Baldwin,1,513,Studio,0,1.0,565,2350.0,,asking,,,,,,2026-06-18,2026-06-28,1
2026-06-28,134 Baldwin,1,603,Studio,0,1.0,500,2100.0,,asking,,,,,,2026-06-18,2026-06-28,1
2026-06-25,134 Baldwin,1,710,Studio,0,1.0,565,2350.0,,asking,,2026-05-27,,,,2026-06-18,2026-06-25,0
2026-06-28,134 Baldwin,1,713,Studio,0,1.0,565,2350.0,,asking,,,,,,2026-06-18,2026-06-28,1
2026-06-28,3 Journal Square,1,0217,1BR,1,1.0,752,3269.0,,asking,,,,,,2026-06-17,2026-06-28,1
2026-06-28,3 Journal Square,1,0417,1BR,1,1.0,752,3299.0,,asking,,,,,,2026-06-17,2026-06-28,1
2026-06-28,3 Journal Square,1,0615,1BR,1,1.0,687,3079.0,,asking,,,,,,2026-06-17,2026-06-28,1
2026-06-28,3 Journal Square,1,0701,1BR,1,1.0,687,3089.0,,asking,,,,,,2026-06-24,2026-06-28,1
2026-06-21,3 Journal Square,1,1101,1BR,1,1.0,687,3109.0,,asking,,,,,,2026-06-20,2026-06-21,0
2026-06-28,3 Journal Square,1,1115,1BR,1,1.0,687,3159.0,,asking,,,,,,2026-06-17,2026-06-28,1
2026-06-27,3 Journal Square,1,1117,1BR,1,1.0,752,3379.0,,asking,,,,,,2026-06-17,2026-06-27,0
2026-06-28,3 Journal Square,1,PH01,1BR,1,1.0,687,3169.0,,asking,,,,,,2026-06-17,2026-06-28,1
2026-06-28,3 Journal Square,1,0612,Studio,0,1.0,496,2389.0,,asking,,,,,,2026-06-24,2026-06-28,1
2026-06-28,345 Baldwin,1,1006,1BR,1,1.0,664,3190.0,2791.0,both,"$2,100.00 Net Effective Rent",8/7/2026,,1,12,2026-06-08,2026-06-28,1
2026-06-28,345 Baldwin,1,1008,1BR,1,1.0,620,2975.0,2603.0,both,"$2,100.00 Net Effective Rent",8/30/2026,,1,12,2026-06-22,2026-06-28,1
2026-06-28,345 Baldwin,1,1110,1BR,1,1.0,650,3075.0,2690.0,both,"$2,100.00 Net Effective Rent",8/15/2026,,1,12,2026-06-08,2026-06-28,1
2026-06-28,345 Baldwin,1,1205,1BR,1,1.0,664,3200.0,2800.0,both,"$2,100.00 Net Effective Rent",6/30/2026,,1,12,2026-06-08,2026-06-28,1
2026-06-28,345 Baldwin,1,1207,1BR,1,1.0,620,2995.0,2620.0,both,"$2,100.00 Net Effective Rent",7/7/2026,,1,12,2026-06-08,2026-06-28,1
2026-06-26,345 Baldwin,1,308,1BR,1,1.0,620,2795.0,2445.0,both,"$2,100.00 Net Effective Rent",,,1,12,2026-06-08,2026-06-26,0
2026-06-28,345 Baldwin,1,710,1BR,1,1.0,650,2930.0,2563.0,both,"$2,100.00 Net Effective Rent",7/7/2026,,1,12,2026-06-11,2026-06-28,1
2026-06-28,345 Baldwin,1,1107,2BR,2,2.0,833,3800.0,3325.0,both,"$2,100.00 Net Effective Rent",8/28/2026,,1,12,2026-06-20,2026-06-28,1
2026-06-18,345 Baldwin,1,701,2BR,2,2.0,947,4100.0,3758.0,both,"$2,200.00 Net Effective Rent",7/6/2026,,1,12,2026-06-08,2026-06-18,0
2026-06-11,345 Baldwin,1,807,2BR,2,2.0,833,3650.0,3345.0,both,"$2,200.00 Net Effective Rent",8/7/2026,,1,12,2026-06-08,2026-06-11,0
2026-06-20,345 Baldwin,1,1002,Studio,0,1.0,391,2480.0,2170.0,both,"$2,100.00 Net Effective Rent",,,1,12,2026-06-11,2026-06-20,0
2026-06-19,345 Baldwin,1,1202,Studio,0,1.0,391,2490.0,2178.0,both,"$2,100.00 Net Effective Rent",6/23/2026,,1,12,2026-06-15,2026-06-19,0
2026-06-28,345 Baldwin,1,303,Studio,0,1.0,391,2400.0,2100.0,both,"$2,100.00 Net Effective Rent",7/2/2026,,1,12,2026-06-08,2026-06-28,1
2026-06-28,345 Baldwin,1,502,Studio,0,1.0,391,2420.0,2117.0,both,"$2,100.00 Net Effective Rent",,,1,12,2026-06-12,2026-06-28,1
2026-06-28,345 Baldwin,1,704,Studio,0,1.0,391,2460.0,2152.0,both,"$2,100.00 Net Effective Rent",,,1,12,2026-06-08,2026-06-28,1
2026-06-28,345 Baldwin,1,803,Studio,0,1.0,391,2550.0,2231.0,both,"$2,100.00 Net Effective Rent",,,1,12,2026-06-08,2026-06-28,1
2026-06-28,413 Summit,1,1010,1BR,1,1.0,,2995.0,2765.0,net+derived_gross,"*The advertised rent is net effective, reflecting one month free on a 13-month lease. Now offering reduced $1,000 security deposit for applicants with 700+ credit scores.",,,1,13,2026-06-08,2026-06-28,1
2026-06-28,413 Summit,1,409,1BR,1,1.0,,2595.0,2395.0,net+derived_gross,"*The advertised rent is net effective, reflecting one month free on a 13-month lease. Now offering reduced $1,000 security deposit for applicants with 700+ credit scores.",,,1,13,2026-06-08,2026-06-28,1
2026-06-08,505 Summit,1,0811,1BR,1,1.0,627,3686.0,3252.0,both,,,,2.5,24,2026-06-08,2026-06-08,0
2026-06-25,505 Summit,1,0811,1BR,1,1.0,627,3551.0,3131.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-24,2026-06-25,0
2026-06-11,505 Summit,1,0908,1BR,1,1.0,630,3731.0,3292.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-06-28,505 Summit,1,0908,1BR,1,1.0,630,3671.0,3238.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-06-28,1
2026-06-23,505 Summit,1,1508,1BR,1,1.0,630,3811.0,3364.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-19,2026-06-23,0
2026-06-11,505 Summit,1,1811,1BR,1,1.0,627,3651.0,3221.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-06-19,505 Summit,1,1811,1BR,1,1.0,627,3651.0,3221.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-06-19,0
2026-06-25,505 Summit,1,1911,1BR,1,1.0,627,3651.0,3221.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-23,2026-06-25,0
2026-06-11,505 Summit,1,2907,1BR,1,1.0,727,4031.0,3561.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-11,2026-06-11,0
2026-06-27,505 Summit,1,2907,1BR,1,1.0,727,3951.0,3489.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-06-27,0
2026-06-11,505 Summit,1,2910,1BR,1,1.0,569,3656.0,3225.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-06-28,505 Summit,1,2910,1BR,1,1.0,569,3656.0,3225.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-06-28,1
2026-06-28,505 Summit,1,3009,1BR,1,1.0,736,3681.0,3247.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-23,2026-06-28,1
