snapshot_date,building,in_market,unit,unit_type,beds,baths,sqft,asking_rent,net_effective_rent,price_basis,concession_text,available_date,data_flag,conc_months,lease_months
2026-08-17,134 Baldwin,1,513,Studio,0,1.0,565,2350.0,,asking,,,,,
2026-08-17,134 Baldwin,1,714,Studio,0,1.0,565,2350.0,,asking,,2026-08-06,,,
2026-08-22,3 Journal Square,1,0520,1BR,1,1.0,794,2965.0,,asking,,,,,
2026-08-22,3 Journal Square,1,0701,1BR,1,1.0,687,3089.0,,asking,,,,,
2026-08-22,3 Journal Square,1,0705,1BR,1,1.0,704,3150.0,,asking,,,,,
2026-08-22,3 Journal Square,1,0910,1BR,1,1.0,752,3360.0,,asking,,,,,
2026-08-22,3 Journal Square,1,1106,1BR,1,1.0,726,3305.0,,asking,,,,,
2026-08-22,3 Journal Square,1,0208,Studio,0,1.0,496,2416.0,,asking,,,,,
2026-08-22,3 Journal Square,1,0309,Studio,0,1.0,496,2446.0,,asking,,,,,
2026-08-22,3 Journal Square,1,0812,Studio,0,1.0,496,2576.0,,asking,,,,,
2026-08-22,3 Journal Square,1,0818,Studio,0,1.0,496,2576.0,,asking,,,,,
2026-08-22,345 Baldwin,1,603,Studio,0,1.0,391,2430.0,2228.0,asking+derived_net,1 mo free (12-mo),9/7/2026,,1,12
2026-08-22,413 Summit,1,1010,1BR,1,1.0,,2995.0,2765.0,net+derived_gross,"*The advertised rent is net effective, reflecting one month free on a 13-month lease. Now offering reduced $1,000 security deposit for applicants with 700+ credit scores.",,,1,13
2026-08-22,413 Summit,1,409,1BR,1,1.0,,2595.0,2395.0,net+derived_gross,"*The advertised rent is net effective, reflecting one month free on a 13-month lease. Now offering reduced $1,000 security deposit for applicants with 700+ credit scores.",,,1,13
2026-08-22,505 Summit,1,3609,1BR,1,1.0,736,4151.0,3583.0,both,"*Studio, 2 Bedroom and 3 Bedroom rents reflect net effective pricing with 2.5 months free on a 24-month lease. Limited time offer. 1 Bedroom rents reflect effective pricing with 3 months free on a 24-month lease. Limited",,,2.5,24
2026-08-22,505 Summit,1,4611,1BR,1,1.0,673,4146.0,3579.0,both,"*Studio, 2 Bedroom and 3 Bedroom rents reflect net effective pricing with 2.5 months free on a 24-month lease. Limited time offer. 1 Bedroom rents reflect effective pricing with 3 months free on a 24-month lease. Limited",,,2.5,24
2026-08-22,505 Summit,1,4811,1BR,1,1.0,594,3876.0,3343.0,both,"*Studio, 2 Bedroom and 3 Bedroom rents reflect net effective pricing with 2.5 months free on a 24-month lease. Limited time offer. 1 Bedroom rents reflect effective pricing with 3 months free on a 24-month lease. Limited",,,2.5,24
2026-08-22,505 Summit,1,5305,1BR,1,1.0,692,4171.0,3601.0,both,"*Studio, 2 Bedroom and 3 Bedroom rents reflect net effective pricing with 2.5 months free on a 24-month lease. Limited time offer. 1 Bedroom rents reflect effective pricing with 3 months free on a 24-month lease. Limited",,,2.5,24
2026-08-22,505 Summit,1,3801,2BR,2,2.0,1144,5791.0,5138.0,both,"*Studio, 2 Bedroom and 3 Bedroom rents reflect net effective pricing with 2.5 months free on a 24-month lease. Limited time offer. 1 Bedroom rents reflect effective pricing with 3 months free on a 24-month lease. Limited",,,2.5,24
2026-08-22,505 Summit,1,4907,Studio,0,1.0,530,3476.0,3064.0,both,"*Studio, 2 Bedroom and 3 Bedroom rents reflect net effective pricing with 2.5 months free on a 24-month lease. Limited time offer. 1 Bedroom rents reflect effective pricing with 3 months free on a 24-month lease. Limited",,,2.5,24
2026-08-22,505 Summit,1,5309,Studio,0,1.0,462,3641.0,3212.0,both,"*Studio, 2 Bedroom and 3 Bedroom rents reflect net effective pricing with 2.5 months free on a 24-month lease. Limited time offer. 1 Bedroom rents reflect effective pricing with 3 months free on a 24-month lease. Limited",,,2.5,24
2026-08-22,55 Jordan,1,1323,1BR,1,1.0,,2500.0,,asking,Up to 3 mo free + no broker fee (term not stated),,,,
2026-08-22,55 Jordan,1,1301,2BR,2,1.0,,3200.0,,asking,Up to 3 mo free + no broker fee (term not stated),,,,
2026-08-22,55 Jordan,1,1613,2BR,2,2.0,,3300.0,,asking,Up to 3 mo free + no broker fee (term not stated),,,,
2026-08-22,55 Jordan,1,2251,3BR,3,2.0,,3100.0,,asking,Up to 3 mo free + no broker fee (term not stated),,,,
2026-08-22,55 Jordan,1,1215,Studio,0,1.0,,2250.0,,asking,Up to 3 mo free + no broker fee (term not stated),,,,
2026-08-22,55 Jordan,1,1316,Studio,0,1.0,,2200.0,,asking,Up to 3 mo free + no broker fee (term not stated),,,,
2026-08-22,Four Twenty Five Summit,1,0318,1BR,1,1.0,756,3675.0,3368.0,both,"$2,358.13 Net Effective Rent",11/12/2026,,,
2026-08-22,Four Twenty Five Summit,1,0519,1BR,1,1.0,719,3545.0,3249.0,both,"$2,358.13 Net Effective Rent",10/3/2026,,,
2026-08-22,Four Twenty Five Summit,1,1103,1BR,1,1.0,616,3345.0,3066.0,both,"$2,358.13 Net Effective Rent",10/14/2026,,,
2026-08-22,Four Twenty Five Summit,1,0603,2BR,2,2.0,1022,5020.0,4601.0,both,"$2,358.13 Net Effective Rent",10/7/2026,,,
2026-08-22,Four Twenty Five Summit,1,2201,2BR,2,2.0,1004,5325.0,4881.0,both,"$2,358.13 Net Effective Rent",,,,
2026-08-22,Four Twenty Five Summit,1,2403,3BR,3,2.0,1214,5900.0,5408.0,both,"$2,358.13 Net Effective Rent",9/22/2026,,,
2026-08-22,Four Twenty Five Summit,1,0407,Studio,0,1.0,436,2695.0,2358.0,both,"$2,358.13 Net Effective Rent",11/6/2026,,,
2026-08-22,Four Twenty Five Summit,1,0421,Studio,0,1.0,635,3200.0,2800.0,both,"$2,358.13 Net Effective Rent",,,,
2026-08-22,Four Twenty Five Summit,1,0522,Studio,0,1.0,529,2775.0,2428.0,both,"$2,358.13 Net Effective Rent",,,,
2026-08-22,Four Twenty Five Summit,1,0809,Studio,0,1.0,515,3065.0,2681.0,both,"$2,358.13 Net Effective Rent",10/16/2026,,,
2026-08-22,Four Twenty Five Summit,1,2113,Studio,0,1.0,436,3150.0,2756.0,both,"$2,358.13 Net Effective Rent",12/7/2026,,,
2026-08-22,Four Twenty Five Summit,1,2407,Studio,0,1.0,383,2845.0,2489.0,both,"$2,358.13 Net Effective Rent",10/24/2026,,,
2026-08-22,Journal Square Urby,1,1008,1BR,1,1.0,,3415.0,,asking,Up to 2 Months Free! Contact us to learn more.,09/05/2026,,,
2026-08-22,Journal Square Urby,1,1116,1BR,1,1.0,,3465.0,,asking,Up to 2 Months Free! Contact us to learn more.,09/24/2026,,,
2026-08-22,Journal Square Urby,1,1216,1BR,1,1.0,,3475.0,,asking,Up to 2 Months Free! Contact us to learn more.,10/08/2026,,,
2026-08-22,Journal Square Urby,1,205,1BR,1,1.0,,3255.0,,asking,Up to 2 Months Free! Contact us to learn more.,09/25/2026,,,
2026-08-22,Journal Square Urby,1,212,1BR,1,1.0,,3215.0,,asking,Up to 2 Months Free! Contact us to learn more.,09/06/2026,,,
2026-08-22,Journal Square Urby,1,916,1BR,1,1.0,,3415.0,,asking,Up to 2 Months Free! Contact us to learn more.,09/18/2026,,,
2026-08-22,Journal Square Urby,1,1010,2BR,2,2.0,,5025.0,,asking,Up to 2 Months Free! Contact us to learn more.,11/05/2026,,,
2026-08-22,Journal Square Urby,1,1014,2BR,2,2.0,,4795.0,,asking,Up to 2 Months Free! Contact us to learn more.,10/23/2026,,,
