snapshot_date,building,in_market,unit,unit_type,beds,baths,sqft,asking_rent,net_effective_rent,price_basis,concession_text,available_date,data_flag,conc_months,lease_months
2026-08-01,134 Baldwin,1,705,1BR,1,1.0,750,3000.0,,asking,,2026-07-24,,,
2026-08-01,134 Baldwin,1,410,2BR,2,2.0,1088,3699.0,,asking,,2026-08-04,,,
2026-08-01,134 Baldwin,1,404,Studio,0,1.0,500,2100.0,,asking,,2026-07-09,,,
2026-08-01,134 Baldwin,1,414,Studio,0,1.0,660,2399.0,,asking,,2026-07-11,,,
2026-08-01,134 Baldwin,1,504,Studio,0,1.0,575,2499.0,,asking,,2026-07-01,,,
2026-08-01,134 Baldwin,1,513,Studio,0,1.0,565,2350.0,,asking,,2026-07-01,,,
2026-08-01,134 Baldwin,1,607,Studio,0,1.0,561,2350.0,,asking,,2026-07-30,,,
2026-08-01,134 Baldwin,1,713,Studio,0,1.0,565,2350.0,,asking,,2026-07-01,,,
2026-08-01,3 Journal Square,1,0701,1BR,1,1.0,687,3089.0,,asking,,,,,
2026-08-01,3 Journal Square,1,0705,1BR,1,1.0,704,3150.0,,asking,,,,,
2026-08-01,3 Journal Square,1,0810,1BR,1,1.0,752,3399.0,,asking,,,,,
2026-08-01,3 Journal Square,1,1115,1BR,1,1.0,687,3159.0,,asking,,,,,
2026-08-01,3 Journal Square,1,0214,2BR,2,2.0,1156,4309.0,,asking,,,,,
2026-08-01,3 Journal Square,1,0404,2BR,2,2.0,1052,4049.0,,asking,,,,,
2026-08-01,3 Journal Square,1,0812,Studio,0,1.0,496,2576.0,,asking,,,,,
2026-08-01,3 Journal Square,1,1202,Studio,0,1.0,496,2596.0,,asking,,,,,
2026-07-29,345 Baldwin,1,1008,1BR,1,1.0,620,2975.0,2727.0,both,"$2,727.08 Net Effective Rent",8/30/2026,,1,12
2026-08-01,413 Summit,1,1010,1BR,1,1.0,,2995.0,2765.0,net+derived_gross,"*The advertised rent is net effective, reflecting one month free on a 13-month lease. Now offering reduced $1,000 security deposit for applicants with 700+ credit scores.",,,1,13
2026-08-01,413 Summit,1,409,1BR,1,1.0,,2595.0,2395.0,net+derived_gross,"*The advertised rent is net effective, reflecting one month free on a 13-month lease. Now offering reduced $1,000 security deposit for applicants with 700+ credit scores.",,,1,13
2026-08-01,505 Summit,1,3211,1BR,1,1.0,698,3986.0,3439.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-01,505 Summit,1,3913,1BR,1,1.0,725,4551.0,3933.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-01,505 Summit,1,4509,1BR,1,1.0,730,4171.0,3601.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-01,505 Summit,1,4511,1BR,1,1.0,673,4081.0,3522.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-01,505 Summit,1,4608,1BR,1,1.0,608,4041.0,3487.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-01,505 Summit,1,4701,1BR,1,1.0,600,4116.0,3553.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-01,505 Summit,1,5011,1BR,1,1.0,594,3846.0,3316.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-01,505 Summit,1,5012,1BR,1,1.0,730,4141.0,3574.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-01,505 Summit,1,5013,1BR,1,1.0,701,4026.0,3474.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-01,505 Summit,1,2901,2BR,2,2.0,1144,5556.0,4927.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-01,505 Summit,1,4601,2BR,2,2.0,1141,5861.0,5200.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-01,505 Summit,1,5007,Studio,0,1.0,530,3436.0,3028.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-01,505 Summit,1,5104,Studio,0,1.0,586,3536.0,3118.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-01,505 Summit,1,5204,Studio,0,1.0,586,3546.0,3126.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-01,505 Summit,1,5206,Studio,0,1.0,530,3596.0,3171.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-01,505 Summit,1,5309,Studio,0,1.0,462,3641.0,3212.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24
2026-08-01,55 Jordan,1,2291,1BR,1,1.0,,2500.0,,asking,Up to 3 mo free + no broker fee (term not stated),,,,
2026-08-01,55 Jordan,1,1881,2BR,2,2.0,,3100.0,,asking,Up to 3 mo free + no broker fee (term not stated),,,,
2026-08-01,55 Jordan,1,8919,2BR,2,1.0,,2825.0,,asking,Up to 3 mo free + no broker fee (term not stated),,,,
2026-08-01,55 Jordan,1,3286,Studio,0,1.0,,2015.0,,asking,Up to 3 mo free + no broker fee (term not stated),,,,
2026-08-01,55 Jordan,1,6672,Studio,0,1.0,,2175.0,,asking,Up to 3 mo free + no broker fee (term not stated),,,,
2026-08-01,Four Twenty Five Summit,1,0318,1BR,1,1.0,756,3675.0,3215.0,both,"$2,428.13 Net Effective Rent",11/12/2026,,,
2026-08-01,Four Twenty Five Summit,1,0415,1BR,1,1.0,650,3195.0,2795.0,both,"$2,428.13 Net Effective Rent",10/5/2026,,,
2026-08-01,Four Twenty Five Summit,1,0519,1BR,1,1.0,719,3545.0,3101.0,both,"$2,428.13 Net Effective Rent",10/3/2026,,,
2026-08-01,Four Twenty Five Summit,1,1106,2BR,2,2.0,972,4955.0,4335.0,both,"$2,428.13 Net Effective Rent",10/3/2026,,,
2026-08-01,Four Twenty Five Summit,1,2201,2BR,2,2.0,1004,5325.0,4659.0,both,"$2,428.13 Net Effective Rent",,,,
2026-08-01,Four Twenty Five Summit,1,0421,Studio,0,1.0,635,3200.0,2800.0,both,"$2,428.13 Net Effective Rent",,,,
2026-08-01,Four Twenty Five Summit,1,0522,Studio,0,1.0,529,2775.0,2428.0,both,"$2,428.13 Net Effective Rent",,,,
2026-08-01,Four Twenty Five Summit,1,0709,Studio,0,1.0,515,2995.0,2620.0,both,"$2,428.13 Net Effective Rent",9/27/2026,,,
2026-08-01,Four Twenty Five Summit,1,0821,Studio,0,1.0,635,3280.0,2870.0,both,"$2,428.13 Net Effective Rent",,,,
2026-08-01,Four Twenty Five Summit,1,0822,Studio,0,1.0,529,3055.0,2673.0,both,"$2,428.13 Net Effective Rent",,,,
2026-08-01,Four Twenty Five Summit,1,1613,Studio,0,1.0,436,2855.0,2498.0,both,"$2,428.13 Net Effective Rent",10/6/2026,,,
2026-08-01,Four Twenty Five Summit,1,1912,Studio,0,1.0,374,2795.0,2445.0,both,"$2,428.13 Net Effective Rent",10/6/2026,,,
2026-08-01,Four Twenty Five Summit,1,2113,Studio,0,1.0,436,3150.0,2756.0,both,"$2,428.13 Net Effective Rent",12/7/2026,,,
2026-08-01,Four Twenty Five Summit,1,2307,Studio,0,1.0,383,2845.0,2489.0,both,"$2,428.13 Net Effective Rent",9/26/2026,,,
2026-08-01,Four Twenty Five Summit,1,2407,Studio,0,1.0,383,2845.0,2489.0,both,"$2,428.13 Net Effective Rent",10/24/2026,,,
2026-08-01,Journal Square Urby,1,212,1BR,1,1.0,,3195.0,,asking,Up to 1 Month Free! Contact us to learn more.,09/06/2026,,,
2026-08-01,Journal Square Urby,1,2416,1BR,1,1.0,,3495.0,,asking,Up to 1 Month Free! Contact us to learn more.,09/03/2026,,,
2026-08-01,Journal Square Urby,1,713,1BR,1,1.0,,3250.0,,asking,Up to 1 Month Free! Contact us to learn more.,08/26/2026,,,
2026-08-01,Journal Square Urby,1,916,1BR,1,1.0,,3395.0,,asking,Up to 1 Month Free! Contact us to learn more.,09/17/2026,,,
2026-08-01,Journal Square Urby,1,1701,Studio,0,1.0,,2985.0,,asking,Up to 1 Month Free! Contact us to learn more.,08/18/2026,,,
2026-08-01,Journal Square Urby,1,1801,Studio,0,1.0,,2985.0,,asking,Up to 1 Month Free! Contact us to learn more.,10/01/2026,,,
2026-08-01,Journal Square Urby,1,1904,Studio,0,1.0,,2985.0,,asking,Up to 1 Month Free! Contact us to learn more.,08/06/2026,,,
2026-08-01,Journal Square Urby,1,2403,Studio,0,1.0,,3045.0,,asking,Up to 1 Month Free! Contact us to learn more.,08/04/2026,,,
2026-08-01,Journal Square Urby,1,515,Studio,0,1.0,,3005.0,,asking,Up to 1 Month Free! Contact us to learn more.,08/18/2026,,,
2026-08-01,Journal Square Urby,1,715,Studio,0,1.0,,3005.0,,asking,Up to 1 Month Free! Contact us to learn more.,08/30/2026,,,
2026-08-01,Journal Squared,1,1102,1BR,1,1.0,716,3395.0,,asking,Up to 1 mo free on SELECT units (term not stated),Now,,,
2026-08-01,Journal Squared,1,2312,1BR,1,1.0,870,3880.0,,asking,Up to 1 mo free on SELECT units (term not stated),09/14/2026,,,
2026-08-01,Journal Squared,1,2412,1BR,1,1.0,870,3880.0,,asking,Up to 1 mo free on SELECT units (term not stated),09/13/2026,,,
2026-08-01,Journal Squared,1,2501,1BR,1,1.0,631,3305.0,,asking,Up to 1 mo free on SELECT units (term not stated),10/07/2026,,,
2026-08-01,Journal Squared,1,2902,1BR,1,1.0,738,3565.0,,asking,Up to 1 mo free on SELECT units (term not stated),09/07/2026,,,
2026-08-01,Journal Squared,1,3103,1BR,1,1.0,686,3755.0,,asking,Up to 1 mo free on SELECT units (term not stated),08/04/2026,,,
2026-08-01,Journal Squared,1,4307,1BR,1,1.0,706,3590.0,,asking,Up to 1 mo free on SELECT units (term not stated),Now,,,
2026-08-01,Journal Squared,1,4603,1BR,1,1.0,652,3410.0,,asking,Up to 1 mo free on SELECT units (term not stated),08/07/2026,,,
2026-08-01,Journal Squared,1,4908,1BR,1,1.0,610,3210.0,,asking,Up to 1 mo free on SELECT units (term not stated),Now,,,
2026-08-01,Journal Squared,1,5004,1BR,1,1.0,646,3410.0,,asking,Up to 1 mo free on SELECT units (term not stated),08/13/2026,,,
2026-08-01,Journal Squared,1,,1BR,1,1.0,692,4225.0,,asking,Up to 1 mo free on SELECT units (term not stated),08/24/2026,,,
2026-08-01,Journal Squared,1,1202,2BR,2,2.0,914,4885.0,,asking,Up to 1 mo free on SELECT units (term not stated),10/26/2026,,,
2026-08-01,Journal Squared,1,2212,2BR,2,2.0,1044,5100.0,,asking,Up to 1 mo free on SELECT units (term not stated),09/13/2026,,,
2026-08-01,Journal Squared,1,3704,2BR,2,2.0,1066,5435.0,,asking,Up to 1 mo free on SELECT units (term not stated),10/16/2026,,,
2026-08-01,Journal Squared,1,4104,2BR,2,2.0,1030,4935.0,,asking,Up to 1 mo free on SELECT units (term not stated),08/26/2026,,,
2026-08-01,Journal Squared,1,4702,2BR,2,2.0,1056,5535.0,,asking,Up to 1 mo free on SELECT units (term not stated),10/25/2026,,,
2026-08-01,Journal Squared,1,4802,2BR,2,2.0,1025,4755.0,,asking,Up to 1 mo free on SELECT units (term not stated),09/13/2026,,,
2026-08-01,Journal Squared,1,4804,2BR,2,2.0,1031,4950.0,,asking,Up to 1 mo free on SELECT units (term not stated),08/07/2026,,,
2026-08-01,Journal Squared,1,5604,2BR,2,2.0,1066,5535.0,,asking,Up to 1 mo free on SELECT units (term not stated),10/05/2026,,,
2026-08-01,Journal Squared,1,5804,2BR,2,2.0,1030,4965.0,,asking,Up to 1 mo free on SELECT units (term not stated),09/03/2026,,,
2026-08-01,Journal Squared,1,0911,Studio,0,1.0,502,3240.0,,asking,Up to 1 mo free on SELECT units (term not stated),Now,,,
2026-08-01,Journal Squared,1,1205,Studio,0,1.0,498,2930.0,,asking,Up to 1 mo free on SELECT units (term not stated),09/07/2026,,,
2026-08-01,Journal Squared,1,1212,Studio,0,1.0,511,3030.0,,asking,Up to 1 mo free on SELECT units (term not stated),09/05/2026,,,
2026-08-01,Journal Squared,1,1401,Studio,0,1.0,488,3010.0,,asking,Up to 1 mo free on SELECT units (term not stated),09/17/2026,,,
2026-08-01,Journal Squared,1,1414,Studio,0,1.0,479,3240.0,,asking,Up to 1 mo free on SELECT units (term not stated),08/07/2026,,,
2026-08-01,Journal Squared,1,1613,Studio,0,1.0,487,2875.0,,asking,Up to 1 mo free on SELECT units (term not stated),09/26/2026,,,
2026-08-01,Journal Squared,1,1706,Studio,0,1.0,484,3165.0,,asking,Up to 1 mo free on SELECT units (term not stated),09/07/2026,,,
2026-08-01,Journal Squared,1,2701,Studio,0,1.0,496,3040.0,,asking,Up to 1 mo free on SELECT units (term not stated),09/24/2026,,,
2026-08-01,Journal Squared,1,3709,Studio,0,1.0,467,2975.0,,asking,Up to 1 mo free on SELECT units (term not stated),09/22/2026,,,
2026-08-01,MetroVue,1,1006,1BR,1,1.0,562,2850.0,,asking,Incentives offered — unquantified ('contact leasing'),"July 24 th, 2026",,,
2026-08-01,MetroVue,1,1110,1BR,1,1.0,590,3099.0,,asking,Incentives offered — unquantified ('contact leasing'),Now!,,,
2026-08-01,MetroVue,1,206,1BR,1,1.0,562,2850.0,,asking,Incentives offered — unquantified ('contact leasing'),Now!,,,
2026-08-01,MetroVue,1,209,1BR,1,1.0,562,2850.0,,asking,Incentives offered — unquantified ('contact leasing'),Now!,,,
2026-08-01,MetroVue,1,407,1BR,1,1.0,562,2750.0,,asking,Incentives offered — unquantified ('contact leasing'),"August 15th, 2026",,,
2026-08-01,MetroVue,1,609,1BR,1,1.0,562,2800.0,,asking,Incentives offered — unquantified ('contact leasing'),"July 15th, 2026",,,
2026-07-24,Orchard,1,2301,1BR,1,1.0,,3700.0,,asking,1-2 mo free (14-mo) per Apr survey — no concession language on widget,,,,
2026-07-24,Orchard,1,3414,1BR,1,1.0,,2675.0,,asking,1-2 mo free (14-mo) per Apr survey — no concession language on widget,,,,
2026-07-24,Orchard,1,4093,1BR,1,1.0,,2750.0,,asking,1-2 mo free (14-mo) per Apr survey — no concession language on widget,,,,
2026-07-24,Orchard,1,6042,1BR,1,1.0,,2950.0,,asking,1-2 mo free (14-mo) per Apr survey — no concession language on widget,,,,
2026-07-24,Orchard,1,8306,1BR,1,1.0,,2650.0,,asking,1-2 mo free (14-mo) per Apr survey — no concession language on widget,,,,
2026-07-24,Orchard,1,8518,1BR,1,1.0,,3300.0,,asking,1-2 mo free (14-mo) per Apr survey — no concession language on widget,,,,
2026-07-24,Orchard,1,9061,1BR,1,1.0,,2850.0,,asking,1-2 mo free (14-mo) per Apr survey — no concession language on widget,,,,
2026-07-24,Orchard,1,1225,2BR,2,2.0,,3999.0,,asking,1-2 mo free (14-mo) per Apr survey — no concession language on widget,,,,
2026-07-24,Orchard,1,2604,2BR,2,1.0,,3175.0,,asking,1-2 mo free (14-mo) per Apr survey — no concession language on widget,,,,
2026-07-24,Orchard,1,3501,2BR,2,1.0,,3350.0,,asking,1-2 mo free (14-mo) per Apr survey — no concession language on widget,,,,
2026-08-01,The Greyson,1,1112,1BR,1,1.0,,3525.0,3231.0,net+derived_gross,UP TO 2 MONTHS FREE*,,,2,24
2026-08-01,The Greyson,1,1118,1BR,1,1.0,657,3802.0,3485.0,net+derived_gross,UP TO 2 MONTHS FREE*,,,2,24
2026-08-01,The Greyson,1,1123,1BR,1,1.0,,3509.0,3217.0,net+derived_gross,UP TO 2 MONTHS FREE*,,,2,24
2026-08-01,The Greyson,1,1926,1BR,1,1.0,,3710.0,3401.0,net+derived_gross,UP TO 2 MONTHS FREE*,,,2,24
