building,unit,beds,baths,sqft
Beacon Harbor Point,1300,2,2.0,1235
Beacon Harbor Point,1405,2,2.0,1182
Beacon Harbor Point,202,1,1.0,953
Beacon Harbor Point,209,1,1.0,859
Beacon Harbor Point,250,1,1.0,828
Beacon Harbor Point,252,1,1.0,953
Beacon Harbor Point,257,1,1.0,811
Beacon Harbor Point,310,1,1.0,859
Beacon Harbor Point,350,1,1.0,828
Beacon Harbor Point,409,1,1.0,859
Beacon Harbor Point,504,1,1.0,859
Beacon Harbor Point,513,0,1.0,430
Beacon Harbor Point,953,2,2.0,1182
NV @ Harbor Point,1008,2,2.0,1109
NV @ Harbor Point,1059,1,1.0,759
NV @ Harbor Point,1060,1,1.0,759
NV @ Harbor Point,1062,1,1.0,896
NV @ Harbor Point,107,2,2.0,1310
NV @ Harbor Point,112,2,2.0,1762
NV @ Harbor Point,1159,1,1.0,759
NV @ Harbor Point,1254,1,1.0,759
NV @ Harbor Point,1261,2,2.0,1109
NV @ Harbor Point,1312,1,1.0,896
NV @ Harbor Point,1354,1,1.0,759
NV @ Harbor Point,1451,1,1.0,896
NV @ Harbor Point,1458,2,2.0,1109
NV @ Harbor Point,1503,1,1.0,759
NV @ Harbor Point,1509,1,1.0,759
NV @ Harbor Point,1554,1,1.0,759
NV @ Harbor Point,1557,1,1.0,896
NV @ Harbor Point,1610,1,1.0,759
NV @ Harbor Point,1611,2,2.0,1109
NV @ Harbor Point,1612,1,1.0,896
NV @ Harbor Point,1656,1,1.0,896
NV @ Harbor Point,1659,1,1.0,759
NV @ Harbor Point,303,2,1.0,1055
NV @ Harbor Point,305,2,2.0,1109
NV @ Harbor Point,417,1,1.0,806
NV @ Harbor Point,425,1,1.0,812
NV @ Harbor Point,517,1,1.0,806
NV @ Harbor Point,520,2,2.0,1151
NV @ Harbor Point,522,2,2.0,1151
NV @ Harbor Point,704,1,1.0,759
NV @ Harbor Point,709,1,1.0,759
Escape @ Harbor Point,1155,1,1.0,817
Escape @ Harbor Point,1205,1,1.0,817
Escape @ Harbor Point,1206,1,1.0,746
Escape @ Harbor Point,1212,2,2.0,1136
Escape @ Harbor Point,1304,1,1.0,902
Escape @ Harbor Point,1405,1,1.0,817
Escape @ Harbor Point,1552,2,2.0,1136
Escape @ Harbor Point,1556,1,1.0,746
Escape @ Harbor Point,156,2,2.0,1457
Escape @ Harbor Point,1609,2,2.0,1347
Escape @ Harbor Point,1658,1,1.0,817
Escape @ Harbor Point,1759,2,2.0,1347
Escape @ Harbor Point,1806,1,1.0,746
Escape @ Harbor Point,328,1,1.0,840
Escape @ Harbor Point,559,2,2.0,1347
Escape @ Harbor Point,602,2,2.0,1136
Escape @ Harbor Point,608,1,1.0,701
Escape @ Harbor Point,654,1,1.0,792
Escape @ Harbor Point,702,2,2.0,1136
Escape @ Harbor Point,712,1,1.0,908
