snapshot_date,building,in_market,unit,unit_type,beds,baths,sqft,asking_rent,net_effective_rent,price_basis,concession_text,available_date,data_flag,conc_months,lease_months
2026-09-24,101 Park Place,1,Atlantic-1,1BR,1,1.0,705,2600.0,,asking,,,,,
2026-09-24,101 Park Place,1,Atlantic-2,1BR,1,1.0,705,2600.0,,asking,,,,,
2026-09-24,101 Park Place,1,Atlantic-3,1BR,1,1.0,705,2600.0,,asking,,,,,
2026-09-24,101 Park Place,1,Belden-1,2BR,2,1.0,1078,3775.0,,asking,,,,,
2026-09-24,101 Park Place,1,Canal-1,2BR,2,2.0,1091,3900.0,,asking,,,,,
2026-09-24,101 Park Place,1,Canal-2,2BR,2,2.0,1091,3900.0,,asking,,,,,
2026-09-24,101 Park Place,1,Henry-1,2BR,2,2.0,1023,3650.0,,asking,,,,,
2026-09-24,101 Park Place,1,Henry-2,2BR,2,2.0,1023,3650.0,,asking,,,,,
2026-09-24,101 Park Place,1,Interstate-1,3BR,3,2.0,1324,4850.0,,asking,,,,,
2026-08-17,111 Harbor Point,1,0325,1BR,1,1.0,733,2704.0,,asking,,8/27/2026,,,
2026-08-17,111 Harbor Point,1,0716,1BR,1,1.0,810,2874.0,,asking,,11/4/2026,,,
2026-08-17,111 Harbor Point,1,1019,1BR,1,1.0,705,2744.0,,asking,,9/1/2026,,,
2026-08-17,111 Harbor Point,1,0101,2BR,2,2.0,1436,4040.0,,asking,,9/16/2026,,,
2026-08-17,111 Harbor Point,1,0811,2BR,2,2.0,1245,3778.0,,asking,,9/24/2026,,,
2026-08-17,111 Harbor Point,1,0823,2BR,2,2.0,1216,3793.0,,asking,,10/14/2026,,,
2026-08-17,111 Harbor Point,1,1323,2BR,2,2.0,1216,4018.0,,asking,,,,,
2026-09-24,121 Towne,1,The Henry-1,1BR,1,1.0,724,2500.0,,asking,,,,,
2026-09-24,121 Towne,1,The Henry-2,1BR,1,1.0,724,2500.0,,asking,,,,,
2026-09-24,121 Towne,1,The Henry-3,1BR,1,1.0,724,2500.0,,asking,,,,,
2026-09-24,121 Towne,1,The Henry-4,1BR,1,1.0,724,2500.0,,asking,,,,,
2026-09-24,121 Towne,1,The Henry-5,1BR,1,1.0,724,2500.0,,asking,,,,,
2026-09-24,121 Towne,1,The Lockwood-1,1BR,1,1.5,1218,3000.0,,asking,,,,,
2026-09-24,121 Towne,1,The Lockwood-2,1BR,1,1.5,1218,3000.0,,asking,,,,,
2026-09-24,121 Towne,1,The Tess-1,1BR,1,1.0,683,2400.0,,asking,,,,,
2026-09-24,121 Towne,1,The Turner-1,1BR,1,1.0,787,2600.0,,asking,,,,,
2026-09-24,121 Towne,1,The Banbury-1,3BR,3,2.0,1390,4200.0,,asking,,,,,
2026-09-24,121 Towne,1,The Hobbs-1,Studio,0,1.0,580,2275.0,,asking,,,,,
2026-09-24,121 Towne,1,The Hobbs-2,Studio,0,1.0,580,2275.0,,asking,,,,,
2026-09-24,121 Towne,1,The Hobbs-3,Studio,0,1.0,580,2275.0,,asking,,,,,
2026-09-24,Allure @ Harbor Point,1,348,1BR,1,1.0,657,2815.0,,asking,,11/6/26,,,
2026-09-24,Allure @ Harbor Point,1,1152,2BR,2,2.0,1148,4365.0,,asking,,11/9/26,,,
2026-09-24,Allure @ Harbor Point,1,1203,2BR,2,2.0,1233,4195.0,,asking,,,,,
2026-09-24,Allure @ Harbor Point,1,121,2BR,2,3.0,1425,5295.0,,asking,,,,,
2026-09-24,Allure @ Harbor Point,1,126,2BR,2,3.0,2114,5595.0,,asking,,,,,
2026-09-24,Allure @ Harbor Point,1,1652,2BR,2,2.0,1148,4895.0,,asking,,12/7/26,,,
2026-09-24,Allure @ Harbor Point,1,1803,2BR,2,2.0,1233,4445.0,,asking,,,,,
2026-09-24,Allure @ Harbor Point,1,1904,2BR,2,2.0,1233,4995.0,,asking,,12/8/26,,,
2026-09-24,Allure @ Harbor Point,1,2203,2BR,2,2.0,1233,4565.0,,asking,,,,,
2026-09-24,Allure @ Harbor Point,1,2204,2BR,2,2.0,1233,5295.0,,asking,,10/18/26,,,
2026-09-24,Allure @ Harbor Point,1,345,2BR,2,2.0,1350,4245.0,,asking,,10/6/26,,,
2026-09-24,Allure @ Harbor Point,1,346,2BR,2,2.0,1311,4245.0,,asking,,12/6/26,,,
2026-09-24,Allure @ Harbor Point,1,508,2BR,2,2.0,1148,4645.0,,asking,,11/22/26,,,
2026-09-24,Allure @ Harbor Point,1,602,2BR,2,2.0,1311,5345.0,,asking,,9/25/26,,,
2026-09-24,Allure @ Harbor Point,1,903,2BR,2,2.0,1233,4265.0,,asking,,10/23/26,,,
2026-09-24,Allure @ Harbor Point,1,1602,3BR,3,2.0,1480,6415.0,,asking,,,,,
2026-09-24,Allure @ Harbor Point,1,2101,3BR,3,2.0,1510,6895.0,,asking,,10/22/26,,,
2026-09-24,Allure @ Harbor Point,1,601,3BR,3,2.0,1510,5995.0,,asking,,10/16/26,,,
2026-09-24,Allure @ Harbor Point,1,801,3BR,3,2.0,1510,6195.0,,asking,,9/29/26,,,
2026-09-24,Anthem @ Harbor Point,1,205,1BR,1,1.0,1128,3945.0,,asking,,11/22/26,,,
2026-09-24,Anthem @ Harbor Point,1,509,1BR,1,1.0,889,3395.0,,asking,,,,,
