date,total_available,all_asking,all_net_eff,studio_asking,studio_net_eff,1br_asking,1br_net_eff,2br_asking,2br_net_eff,3br_asking,3br_net_eff
2026-07-11,141,4026.0,,2525.0,,3287.0,,5078.0,,6895.0,
2026-07-13,204,3723.0,,2446.0,,3096.0,,4784.0,,6895.0,
2026-07-14,180,3713.0,,2462.0,,3062.0,,4781.0,,6895.0,
2026-07-15,183,3693.0,,2462.0,,3045.0,,4757.0,,6895.0,
2026-07-16,172,3755.0,,2498.0,,3084.0,,4743.0,,6895.0,
2026-07-17,182,3744.0,,2462.0,,3085.0,,4748.0,,6895.0,
2026-07-18,190,3736.0,,2432.0,,3036.0,,4753.0,,6945.0,
2026-07-19,185,3757.0,,2432.0,,3039.0,,4753.0,,6945.0,
2026-07-20,184,3752.0,,2393.0,,3050.0,,4797.0,,6945.0,
2026-07-21,170,3843.0,,2465.0,,3101.0,,4836.0,,6945.0,
2026-07-22,184,3760.0,,2393.0,,3066.0,,4770.0,,6945.0,
2026-07-23,185,3747.0,,2368.0,,3060.0,,4780.0,,6945.0,
2026-07-24,161,3850.0,,2368.0,,3134.0,,4904.0,,6030.0,
2026-07-25,177,3751.0,,2368.0,,3067.0,,4809.0,,6030.0,
2026-07-26,171,3785.0,,2392.0,,3076.0,,4809.0,,6030.0,
2026-07-27,160,3814.0,,2392.0,,3087.0,,4854.0,,6030.0,
2026-07-28,165,3828.0,,2655.0,,3092.0,,4832.0,,6030.0,
2026-07-29,170,3824.0,,2525.0,,3080.0,,4801.0,,6030.0,
2026-07-30,167,3825.0,,2525.0,,3090.0,,4832.0,,6030.0,
2026-07-31,169,3784.0,,2525.0,,3079.0,,4820.0,,6030.0,
2026-08-01,164,3807.0,,2525.0,,3086.0,,4839.0,,6030.0,
2026-08-02,168,3765.0,,2525.0,,3059.0,,4818.0,,6030.0,
2026-08-03,167,3777.0,,2525.0,,3063.0,,4832.0,,6030.0,
2026-08-04,162,3801.0,,2525.0,,3077.0,,4845.0,,6030.0,
2026-08-05,154,3882.0,,2495.0,,3086.0,,4821.0,,6316.0,
2026-08-06,189,3719.0,,2385.0,,3013.0,,4758.0,,6021.0,
2026-08-07,195,3686.0,,2385.0,,2986.0,,4722.0,,6021.0,
2026-08-08,191,3699.0,,2385.0,,2987.0,,4742.0,,6021.0,
2026-08-09,176,3734.0,,2385.0,,2997.0,,4815.0,,6021.0,
2026-08-10,186,3709.0,,2385.0,,2981.0,,4750.0,,6021.0,
2026-08-11,183,3710.0,,2385.0,,2976.0,,4780.0,,6021.0,
2026-08-12,186,3740.0,,2385.0,,2981.0,,4771.0,,6313.0,
2026-08-13,185,3748.0,,2382.0,,2979.0,,4752.0,,6313.0,
2026-08-14,184,3743.0,,2382.0,,3010.0,,4745.0,,6056.0,
2026-08-15,176,3779.0,,2275.0,,3015.0,,4789.0,,6056.0,
2026-08-16,172,3789.0,,2275.0,,3012.0,,4802.0,,6056.0,
2026-08-17,170,3793.0,,2275.0,,3003.0,,4801.0,,6056.0,
2026-08-18,120,4063.0,,2275.0,,3146.0,,5172.0,,6056.0,
2026-08-19,118,4063.0,,2275.0,,3166.0,,5143.0,,5846.0,
2026-08-20,122,4050.0,,2275.0,,3161.0,,5112.0,,5846.0,
2026-08-21,123,4079.0,,2275.0,,3163.0,,5124.0,,6056.0,
2026-08-22,121,4012.0,,2275.0,,3142.0,,5031.0,,6040.0,
2026-08-23,118,4042.0,,2275.0,,3157.0,,5031.0,,6040.0,
2026-08-24,114,4077.0,,2275.0,,3164.0,,5031.0,,6040.0,
2026-08-25,116,4093.0,,2275.0,,3161.0,,5033.0,,6040.0,
2026-08-26,112,4125.0,,2275.0,,3167.0,,5025.0,,6040.0,
2026-08-27,115,4142.0,,2275.0,,3173.0,,5006.0,,5842.0,
2026-08-28,115,4142.0,,2275.0,,3173.0,,5006.0,,5842.0,
2026-08-29,114,4148.0,,2275.0,,3169.0,,5006.0,,5842.0,
2026-08-30,108,4173.0,,2275.0,,3156.0,,4992.0,,5842.0,
2026-08-31,105,4161.0,,2275.0,,3125.0,,5008.0,,5842.0,
2026-09-01,111,4165.0,,2275.0,,3160.0,,5031.0,,5842.0,
2026-09-02,108,4186.0,,2275.0,,3165.0,,5047.0,,5842.0,
2026-09-03,112,4112.0,,2275.0,,3127.0,,5036.0,,5842.0,
2026-09-04,110,4098.0,,2275.0,,3138.0,,4994.0,,5842.0,
2026-09-05,107,4119.0,,2275.0,,3126.0,,4994.0,,5842.0,
