snapshot_date,building,in_market,unit,unit_type,beds,baths,sqft,asking_rent,net_effective_rent,price_basis,concession_text,available_date,data_flag,conc_months,lease_months
2026-08-14,101 Park Place,1,Atlantic-1,1BR,1,1.0,705,2600.0,,asking,,,,,
2026-08-14,101 Park Place,1,Atlantic-2,1BR,1,1.0,705,2600.0,,asking,,,,,
2026-08-14,101 Park Place,1,Atlantic-3,1BR,1,1.0,705,2600.0,,asking,,,,,
2026-08-14,101 Park Place,1,Atlantic-4,1BR,1,1.0,705,2600.0,,asking,,,,,
2026-08-14,101 Park Place,1,Atlantic-5,1BR,1,1.0,705,2600.0,,asking,,,,,
2026-08-14,101 Park Place,1,Atlantic-6,1BR,1,1.0,705,2600.0,,asking,,,,,
2026-08-14,101 Park Place,1,Fairfield-1,1BR,1,1.0,552,2400.0,,asking,,,,,
2026-08-14,101 Park Place,1,Canal-1,2BR,2,2.0,1091,3900.0,,asking,,,,,
2026-08-14,111 Harbor Point,1,0325,1BR,1,1.0,733,2704.0,,asking,,8/27/2026,,,
2026-08-14,111 Harbor Point,1,0522,1BR,1,1.0,755,3026.0,,asking,,,,,
2026-08-14,111 Harbor Point,1,0716,1BR,1,1.0,810,2874.0,,asking,,11/4/2026,,,
2026-08-14,111 Harbor Point,1,1019,1BR,1,1.0,705,2744.0,,asking,,9/1/2026,,,
2026-08-14,111 Harbor Point,1,0101,2BR,2,2.0,1436,4040.0,,asking,,9/16/2026,,,
2026-08-14,111 Harbor Point,1,0811,2BR,2,2.0,1245,3778.0,,asking,,9/24/2026,,,
2026-08-14,111 Harbor Point,1,0823,2BR,2,2.0,1216,3793.0,,asking,,10/14/2026,,,
2026-08-14,111 Harbor Point,1,1323,2BR,2,2.0,1216,4018.0,,asking,,8/15/2026,,,
2026-08-14,121 Towne,1,The Henry-1,1BR,1,1.0,724,2500.0,,asking,,,,,
2026-08-14,121 Towne,1,The Henry-2,1BR,1,1.0,724,2500.0,,asking,,,,,
2026-08-14,121 Towne,1,The Henry-3,1BR,1,1.0,724,2500.0,,asking,,,,,
2026-08-14,121 Towne,1,The Lockwood-1,1BR,1,1.5,1218,3000.0,,asking,,,,,
2026-08-14,121 Towne,1,The Lockwood-2,1BR,1,1.5,1218,3000.0,,asking,,,,,
2026-08-14,121 Towne,1,The Blake-1,2BR,2,2.0,1167,3600.0,,asking,,,,,
2026-08-14,121 Towne,1,The Blake-2,2BR,2,2.0,1167,3600.0,,asking,,,,,
2026-08-14,121 Towne,1,The Mossman with Den-1,2BR,2,2.0,1317,4000.0,,asking,,,,,
2026-08-14,121 Towne,1,The Banbury-1,3BR,3,2.0,1390,4200.0,,asking,,,,,
2026-08-14,121 Towne,1,The Hobbs-1,Studio,0,1.0,580,2275.0,,asking,,,,,
